protein1 protein2 combined_score
9606.ENSP00000000233 9606.ENSP00000341885 233
9606.ENSP00000000233 9606.ENSP00000307939 271
9606.ENSP00000000233 9606.ENSP00000297532 162
9606.ENSP00000000233 9606.ENSP00000222803 152
9606.ENSP00000000233 9606.ENSP00000347055 159
9606.ENSP00000000233 9606.ENSP00000378402 192
9606.ENSP00000000233 9606.ENSP00000258301 186
9606.ENSP00000000233 9606.ENSP00000232905 164
9606.ENSP00000000233 9606.ENSP00000323879 156
9606.ENSP00000000233 9606.ENSP00000254900 170
9606.ENSP00000000233 9606.ENSP00000253055 154
9606.ENSP00000000233 9606.ENSP00000466134 156
9606.ENSP00000000233 9606.ENSP00000338864 156
9606.ENSP00000000233 9606.ENSP00000311449 415
9606.ENSP00000000233 9606.ENSP00000280706 249
9606.ENSP00000000233 9606.ENSP00000262455 582
9606.ENSP00000000233 9606.ENSP00000345133 150
9606.ENSP00000000233 9606.ENSP00000382250 158
9606.ENSP00000000233 9606.ENSP00000257770 331
9606.ENSP00000000233 9606.ENSP00000351446 152
9606.ENSP00000000233 9606.ENSP00000255006 245
9606.ENSP00000000233 9606.ENSP00000386248 203
9606.ENSP00000000233 9606.ENSP00000381601 416
9606.ENSP00000000233 9606.ENSP00000211998 176
9606.ENSP00000000233 9606.ENSP00000253861 193
9606.ENSP00000000233 9606.ENSP00000373684 161
9606.ENSP00000000233 9606.ENSP00000305260 563
9606.ENSP00000000233 9606.ENSP00000216373 197
9606.ENSP00000000233 9606.ENSP00000157812 165
9606.ENSP00000000233 9606.ENSP00000219479 290
9606.ENSP00000000233 9606.ENSP00000262584 216
9606.ENSP00000000233 9606.ENSP00000248901 618
9606.ENSP00000000233 9606.ENSP00000361177 196
9606.ENSP00000000233 9606.ENSP00000243440 172
9606.ENSP00000000233 9606.ENSP00000405926 565
9606.ENSP00000000233 9606.ENSP00000481780 451
9606.ENSP00000000233 9606.ENSP00000419195 150
9606.ENSP00000000233 9606.ENSP00000279387 317
9606.ENSP00000000233 9606.ENSP00000304604 152
9606.ENSP00000000233 9606.ENSP00000158762 825
9606.ENSP00000000233 9606.ENSP00000302968 177
9606.ENSP00000000233 9606.ENSP00000291906 171
9606.ENSP00000000233 9606.ENSP00000249647 158
9606.ENSP00000000233 9606.ENSP00000253686 161
9606.ENSP00000000233 9606.ENSP00000347140 176
9606.ENSP00000000233 9606.ENSP00000320866 233
9606.ENSP00000000233 9606.ENSP00000429374 202
9606.ENSP00000000233 9606.ENSP00000346173 168
9606.ENSP00000000233 9606.ENSP00000367220 186
9606.ENSP00000000233 9606.ENSP00000265753 205
9606.ENSP00000000233 9606.ENSP00000369080 150
9606.ENSP00000000233 9606.ENSP00000286827 216
9606.ENSP00000000233 9606.ENSP00000357838 177
9606.ENSP00000000233 9606.ENSP00000364298 151
9606.ENSP00000000233 9606.ENSP00000363524 511
9606.ENSP00000000233 9606.ENSP00000463842 155
9606.ENSP00000000233 9606.ENSP00000413697 198
9606.ENSP00000000233 9606.ENSP00000402515 165
9606.ENSP00000000233 9606.ENSP00000359300 179
9606.ENSP00000000233 9606.ENSP00000300087 530
9606.ENSP00000000233 9606.ENSP00000389103 159
9606.ENSP00000000233 9606.ENSP00000401564 221
9606.ENSP00000000233 9606.ENSP00000428714 153
9606.ENSP00000000233 9606.ENSP00000385432 178
9606.ENSP00000000233 9606.ENSP00000463559 167
9606.ENSP00000000233 9606.ENSP00000300651 175
9606.ENSP00000000233 9606.ENSP00000286719 163
9606.ENSP00000000233 9606.ENSP00000430344 172
9606.ENSP00000000233 9606.ENSP00000359424 151
9606.ENSP00000000233 9606.ENSP00000386264 167
9606.ENSP00000000233 9606.ENSP00000269051 170
9606.ENSP00000000233 9606.ENSP00000357178 187
9606.ENSP00000000233 9606.ENSP00000358696 154
9606.ENSP00000000233 9606.ENSP00000219204 153
9606.ENSP00000000233 9606.ENSP00000381876 154
9606.ENSP00000000233 9606.ENSP00000439020 284
9606.ENSP00000000233 9606.ENSP00000397441 155
9606.ENSP00000000233 9606.ENSP00000360613 185
9606.ENSP00000000233 9606.ENSP00000401888 158
9606.ENSP00000000233 9606.ENSP00000239690 622
9606.ENSP00000000233 9606.ENSP00000354451 174
9606.ENSP00000000233 9606.ENSP00000237264 151
9606.ENSP00000000233 9606.ENSP00000462468 150
9606.ENSP00000000233 9606.ENSP00000369784 202
9606.ENSP00000000233 9606.ENSP00000357048 718
9606.ENSP00000000233 9606.ENSP00000331748 158
9606.ENSP00000000233 9606.ENSP00000338844 188
9606.ENSP00000000233 9606.ENSP00000317469 282
9606.ENSP00000000233 9606.ENSP00000262942 295
9606.ENSP00000000233 9606.ENSP00000240874 199
9606.ENSP00000000233 9606.ENSP00000298552 178
9606.ENSP00000000233 9606.ENSP00000362566 173
9606.ENSP00000000233 9606.ENSP00000369810 157
9606.ENSP00000000233 9606.ENSP00000362730 181
9606.ENSP00000000233 9606.ENSP00000392718 178
9606.ENSP00000000233 9606.ENSP00000413152 166
9606.ENSP00000000233 9606.ENSP00000303178 177
9606.ENSP00000000233 9606.ENSP00000236192 225
9606.ENSP00000000233 9606.ENSP00000434103 175
9606.ENSP00000000233 9606.ENSP00000339063 152
9606.ENSP00000000233 9606.ENSP00000354947 564
9606.ENSP00000000233 9606.ENSP00000370719 535
9606.ENSP00000000233 9606.ENSP00000384675 200
9606.ENSP00000000233 9606.ENSP00000349168 306
9606.ENSP00000000233 9606.ENSP00000378721 160
9606.ENSP00000000233 9606.ENSP00000382697 150
9606.ENSP00000000233 9606.ENSP00000347134 200
9606.ENSP00000000233 9606.ENSP00000384700 491
9606.ENSP00000000233 9606.ENSP00000258739 581
9606.ENSP00000000233 9606.ENSP00000261842 205
9606.ENSP00000000233 9606.ENSP00000295408 154
9606.ENSP00000000233 9606.ENSP00000363779 156
9606.ENSP00000000233 9606.ENSP00000479134 154
9606.ENSP00000000233 9606.ENSP00000300055 157
9606.ENSP00000000233 9606.ENSP00000262305 952
9606.ENSP00000000233 9606.ENSP00000365012 164
9606.ENSP00000000233 9606.ENSP00000312778 164
9606.ENSP00000000233 9606.ENSP00000472985 199
9606.ENSP00000000233 9606.ENSP00000389277 162
9606.ENSP00000000233 9606.ENSP00000298229 162
9606.ENSP00000000233 9606.ENSP00000481721 162
9606.ENSP00000000233 9606.ENSP00000259056 208
9606.ENSP00000000233 9606.ENSP00000259808 162
9606.ENSP00000000233 9606.ENSP00000263847 249
9606.ENSP00000000233 9606.ENSP00000178640 163
9606.ENSP00000000233 9606.ENSP00000299138 190
9606.ENSP00000000233 9606.ENSP00000256404 170
9606.ENSP00000000233 9606.ENSP00000300935 460
9606.ENSP00000000233 9606.ENSP00000301037 171
9606.ENSP00000000233 9606.ENSP00000374484 193
9606.ENSP00000000233 9606.ENSP00000392513 208
9606.ENSP00000000233 9606.ENSP00000220003 165
9606.ENSP00000000233 9606.ENSP00000378769 171
9606.ENSP00000000233 9606.ENSP00000263354 213
9606.ENSP00000000233 9606.ENSP00000380334 163
9606.ENSP00000000233 9606.ENSP00000361635 281
9606.ENSP00000000233 9606.ENSP00000273130 518
9606.ENSP00000000233 9606.ENSP00000367197 158
9606.ENSP00000000233 9606.ENSP00000355689 183
9606.ENSP00000000233 9606.ENSP00000257904 164
9606.ENSP00000000233 9606.ENSP00000302886 166
9606.ENSP00000000233 9606.ENSP00000478887 184
9606.ENSP00000000233 9606.ENSP00000348461 246
9606.ENSP00000000233 9606.ENSP00000272322 198
9606.ENSP00000000233 9606.ENSP00000417378 249
9606.ENSP00000000233 9606.ENSP00000358997 158
9606.ENSP00000000233 9606.ENSP00000313420 160
9606.ENSP00000000233 9606.ENSP00000311430 169
9606.ENSP00000000233 9606.ENSP00000387307 164
9606.ENSP00000000233 9606.ENSP00000263657 167
9606.ENSP00000000233 9606.ENSP00000380869 156
9606.ENSP00000000233 9606.ENSP00000329419 752
9606.ENSP00000000233 9606.ENSP00000372023 167
9606.ENSP00000000233 9606.ENSP00000360108 168
9606.ENSP00000000233 9606.ENSP00000341071 200
9606.ENSP00000000233 9606.ENSP00000383996 163
9606.ENSP00000000233 9606.ENSP00000361206 187
9606.ENSP00000000233 9606.ENSP00000411471 156
9606.ENSP00000000233 9606.ENSP00000432660 225
9606.ENSP00000000233 9606.ENSP00000375220 156
9606.ENSP00000000233 9606.ENSP00000361298 503
9606.ENSP00000000233 9606.ENSP00000377148 392
9606.ENSP00000000233 9606.ENSP00000332791 154
9606.ENSP00000000233 9606.ENSP00000267257 279
9606.ENSP00000000233 9606.ENSP00000346037 156
9606.ENSP00000000233 9606.ENSP00000378557 155
9606.ENSP00000000233 9606.ENSP00000260746 399
9606.ENSP00000000233 9606.ENSP00000264065 183
9606.ENSP00000000233 9606.ENSP00000438388 521
9606.ENSP00000000233 9606.ENSP00000357283 205
9606.ENSP00000000233 9606.ENSP00000380638 394
9606.ENSP00000000233 9606.ENSP00000329471 579
9606.ENSP00000000233 9606.ENSP00000313007 171
9606.ENSP00000000233 9606.ENSP00000355428 174
9606.ENSP00000000233 9606.ENSP00000371230 188
9606.ENSP00000000233 9606.ENSP00000271857 153
9606.ENSP00000000233 9606.ENSP00000376345 174
9606.ENSP00000000233 9606.ENSP00000270142 160
9606.ENSP00000000233 9606.ENSP00000353846 174
9606.ENSP00000000233 9606.ENSP00000381098 452
9606.ENSP00000000233 9606.ENSP00000364555 178
9606.ENSP00000000233 9606.ENSP00000337261 159
9606.ENSP00000000233 9606.ENSP00000364579 161
9606.ENSP00000000233 9606.ENSP00000303507 150
9606.ENSP00000000233 9606.ENSP00000342136 182
9606.ENSP00000000233 9606.ENSP00000411831 507
9606.ENSP00000000233 9606.ENSP00000378323 165
9606.ENSP00000000233 9606.ENSP00000275364 150
9606.ENSP00000000233 9606.ENSP00000494678 455
9606.ENSP00000000233 9606.ENSP00000360793 510
9606.ENSP00000000233 9606.ENSP00000494750 335
9606.ENSP00000000233 9606.ENSP00000265709 555
9606.ENSP00000000233 9606.ENSP00000285873 179
9606.ENSP00000000233 9606.ENSP00000416097 267
9606.ENSP00000000233 9606.ENSP00000423399 153
9606.ENSP00000000233 9606.ENSP00000355651 298
9606.ENSP00000000233 9606.ENSP00000349016 158
9606.ENSP00000000233 9606.ENSP00000364449 150
9606.ENSP00000000233 9606.ENSP00000357810 171
9606.ENSP00000000233 9606.ENSP00000386786 209
9606.ENSP00000000233 9606.ENSP00000479816 368
9606.ENSP00000000233 9606.ENSP00000424711 176
9606.ENSP00000000233 9606.ENSP00000446955 152
9606.ENSP00000000233 9606.ENSP00000309415 236
9606.ENSP00000000233 9606.ENSP00000356864 193
9606.ENSP00000000233 9606.ENSP00000262146 169
9606.ENSP00000000233 9606.ENSP00000298159 188
9606.ENSP00000000233 9606.ENSP00000221114 513
9606.ENSP00000000233 9606.ENSP00000203556 173
9606.ENSP00000000233 9606.ENSP00000337797 203
9606.ENSP00000000233 9606.ENSP00000354669 167
9606.ENSP00000000233 9606.ENSP00000347244 542
9606.ENSP00000000233 9606.ENSP00000318821 546
9606.ENSP00000000233 9606.ENSP00000373215 248
9606.ENSP00000000233 9606.ENSP00000377948 175
9606.ENSP00000000233 9606.ENSP00000370208 205
9606.ENSP00000000233 9606.ENSP00000300176 236
9606.ENSP00000000233 9606.ENSP00000380070 270
9606.ENSP00000000233 9606.ENSP00000360532 206
9606.ENSP00000000233 9606.ENSP00000046087 194
9606.ENSP00000000233 9606.ENSP00000380718 189
9606.ENSP00000000233 9606.ENSP00000258955 158
9606.ENSP00000000233 9606.ENSP00000469035 795
9606.ENSP00000000233 9606.ENSP00000331901 213
9606.ENSP00000000233 9606.ENSP00000269881 154
9606.ENSP00000000233 9606.ENSP00000244496 217
9606.ENSP00000000233 9606.ENSP00000367658 178
9606.ENSP00000000233 9606.ENSP00000293831 171
9606.ENSP00000000233 9606.ENSP00000219252 158
9606.ENSP00000000233 9606.ENSP00000258457 150
9606.ENSP00000000233 9606.ENSP00000385000 504
9606.ENSP00000000233 9606.ENSP00000219476 247
9606.ENSP00000000233 9606.ENSP00000463939 305
9606.ENSP00000000233 9606.ENSP00000442736 154
9606.ENSP00000000233 9606.ENSP00000331602 186
9606.ENSP00000000233 9606.ENSP00000236709 231
9606.ENSP00000000233 9606.ENSP00000218340 218
9606.ENSP00000000233 9606.ENSP00000299705 561
9606.ENSP00000000233 9606.ENSP00000223369 170
9606.ENSP00000000233 9606.ENSP00000295240 213
9606.ENSP00000000233 9606.ENSP00000471457 206
9606.ENSP00000000233 9606.ENSP00000357660 176
9606.ENSP00000000233 9606.ENSP00000310491 205
9606.ENSP00000000233 9606.ENSP00000322170 154
9606.ENSP00000000233 9606.ENSP00000345656 209
9606.ENSP00000000233 9606.ENSP00000239440 277
9606.ENSP00000000233 9606.ENSP00000387875 511
9606.ENSP00000000233 9606.ENSP00000273375 155
9606.ENSP00000000233 9606.ENSP00000302830 170
9606.ENSP00000000233 9606.ENSP00000256858 174
9606.ENSP00000000233 9606.ENSP00000356000 154
9606.ENSP00000000233 9606.ENSP00000381339 154
9606.ENSP00000000233 9606.ENSP00000306124 171
9606.ENSP00000000233 9606.ENSP00000285208 239
9606.ENSP00000000233 9606.ENSP00000363638 153
9606.ENSP00000000233 9606.ENSP00000379287 180
9606.ENSP00000000233 9606.ENSP00000356920 150
9606.ENSP00000000233 9606.ENSP00000243298 185
9606.ENSP00000000233 9606.ENSP00000437073 157
9606.ENSP00000000233 9606.ENSP00000266037 198
9606.ENSP00000000233 9606.ENSP00000416250 155
9606.ENSP00000000233 9606.ENSP00000003100 169
9606.ENSP00000000233 9606.ENSP00000380524 150
9606.ENSP00000000233 9606.ENSP00000290378 183
9606.ENSP00000000233 9606.ENSP00000361803 170
9606.ENSP00000000233 9606.ENSP00000365773 217
9606.ENSP00000000233 9606.ENSP00000362294 152
9606.ENSP00000000233 9606.ENSP00000480707 618
9606.ENSP00000000233 9606.ENSP00000270176 219
9606.ENSP00000000233 9606.ENSP00000376367 153
9606.ENSP00000000233 9606.ENSP00000361264 161
9606.ENSP00000000233 9606.ENSP00000294618 151
9606.ENSP00000000233 9606.ENSP00000370695 166
9606.ENSP00000000233 9606.ENSP00000423673 192
9606.ENSP00000000233 9606.ENSP00000416750 150
9606.ENSP00000000233 9606.ENSP00000371267 168
9606.ENSP00000000233 9606.ENSP00000263125 173
9606.ENSP00000000233 9606.ENSP00000361275 156
9606.ENSP00000000233 9606.ENSP00000009530 151
9606.ENSP00000000233 9606.ENSP00000369390 157
9606.ENSP00000000233 9606.ENSP00000366283 163
9606.ENSP00000000233 9606.ENSP00000300093 156
9606.ENSP00000000233 9606.ENSP00000360916 152
9606.ENSP00000000233 9606.ENSP00000388169 204
9606.ENSP00000000233 9606.ENSP00000444561 211
9606.ENSP00000000233 9606.ENSP00000393541 254
9606.ENSP00000000233 9606.ENSP00000296474 322
9606.ENSP00000000233 9606.ENSP00000314733 160
9606.ENSP00000000233 9606.ENSP00000232975 150
9606.ENSP00000000233 9606.ENSP00000349305 202
9606.ENSP00000000233 9606.ENSP00000264995 190
9606.ENSP00000000233 9606.ENSP00000481994 161
9606.ENSP00000000233 9606.ENSP00000265062 255
9606.ENSP00000000233 9606.ENSP00000262288 179
9606.ENSP00000000233 9606.ENSP00000265431 153
9606.ENSP00000000233 9606.ENSP00000255194 395
9606.ENSP00000000233 9606.ENSP00000229812 166
9606.ENSP00000000233 9606.ENSP00000263904 158
9606.ENSP00000000233 9606.ENSP00000340454 175
9606.ENSP00000000233 9606.ENSP00000223073 163
9606.ENSP00000000233 9606.ENSP00000313869 251
9606.ENSP00000000233 9606.ENSP00000287878 156
9606.ENSP00000000233 9606.ENSP00000256460 167
9606.ENSP00000000233 9606.ENSP00000365162 150
9606.ENSP00000000233 9606.ENSP00000222286 159
9606.ENSP00000000233 9606.ENSP00000326238 542
9606.ENSP00000000233 9606.ENSP00000328287 297
9606.ENSP00000000233 9606.ENSP00000334300 178
9606.ENSP00000000233 9606.ENSP00000258886 150
9606.ENSP00000000233 9606.ENSP00000446830 294
9606.ENSP00000000233 9606.ENSP00000428489 155
9606.ENSP00000000233 9606.ENSP00000378338 230
9606.ENSP00000000233 9606.ENSP00000456206 183
9606.ENSP00000000233 9606.ENSP00000254976 153
9606.ENSP00000000233 9606.ENSP00000262177 192
9606.ENSP00000000233 9606.ENSP00000367806 206
9606.ENSP00000000233 9606.ENSP00000368237 208
9606.ENSP00000000233 9606.ENSP00000360676 219
9606.ENSP00000000233 9606.ENSP00000355966 234
9606.ENSP00000000233 9606.ENSP00000338777 201
9606.ENSP00000000233 9606.ENSP00000203407 167
9606.ENSP00000000233 9606.ENSP00000296255 187
9606.ENSP00000000233 9606.ENSP00000386588 174
9606.ENSP00000000233 9606.ENSP00000430276 183
9606.ENSP00000000233 9606.ENSP00000371554 155
9606.ENSP00000000233 9606.ENSP00000280772 538
9606.ENSP00000000233 9606.ENSP00000350896 226
9606.ENSP00000000233 9606.ENSP00000234313 583
9606.ENSP00000000233 9606.ENSP00000203630 185
9606.ENSP00000000233 9606.ENSP00000326342 248
9606.ENSP00000000233 9606.ENSP00000216133 258
9606.ENSP00000000233 9606.ENSP00000338127 159
9606.ENSP00000000233 9606.ENSP00000239891 190
9606.ENSP00000000233 9606.ENSP00000319060 163
9606.ENSP00000000233 9606.ENSP00000363308 150
9606.ENSP00000000233 9606.ENSP00000009105 150
9606.ENSP00000000233 9606.ENSP00000364361 155
9606.ENSP00000000233 9606.ENSP00000264028 653
9606.ENSP00000000233 9606.ENSP00000371133 225
9606.ENSP00000000233 9606.ENSP00000365891 217
9606.ENSP00000000233 9606.ENSP00000393241 179
9606.ENSP00000000233 9606.ENSP00000331849 157
9606.ENSP00000000233 9606.ENSP00000346839 150
9606.ENSP00000000233 9606.ENSP00000310722 157
9606.ENSP00000000233 9606.ENSP00000309714 152
9606.ENSP00000000233 9606.ENSP00000267814 181
9606.ENSP00000000233 9606.ENSP00000326381 151
9606.ENSP00000000233 9606.ENSP00000361917 159
9606.ENSP00000000233 9606.ENSP00000307078 526
9606.ENSP00000000233 9606.ENSP00000413436 177
9606.ENSP00000000233 9606.ENSP00000335153 188
9606.ENSP00000000233 9606.ENSP00000358071 183
9606.ENSP00000000233 9606.ENSP00000263265 296
9606.ENSP00000000233 9606.ENSP00000389445 213
9606.ENSP00000000233 9606.ENSP00000320295 181
9606.ENSP00000000233 9606.ENSP00000361900 152
9606.ENSP00000000233 9606.ENSP00000246069 151
9606.ENSP00000000233 9606.ENSP00000436785 161
9606.ENSP00000000233 9606.ENSP00000274710 169
9606.ENSP00000000233 9606.ENSP00000397947 227
9606.ENSP00000000233 9606.ENSP00000457728 160
9606.ENSP00000000233 9606.ENSP00000350348 433
9606.ENSP00000000233 9606.ENSP00000376293 219
9606.ENSP00000000233 9606.ENSP00000451560 187
9606.ENSP00000000233 9606.ENSP00000409952 200
9606.ENSP00000000233 9606.ENSP00000305071 162
9606.ENSP00000000233 9606.ENSP00000255136 168
9606.ENSP00000000233 9606.ENSP00000385886 156
9606.ENSP00000000233 9606.ENSP00000262498 316
9606.ENSP00000000233 9606.ENSP00000268057 208
9606.ENSP00000000233 9606.ENSP00000483786 178
9606.ENSP00000000233 9606.ENSP00000221138 191
9606.ENSP00000000233 9606.ENSP00000354927 185
9606.ENSP00000000233 9606.ENSP00000388996 407
9606.ENSP00000000233 9606.ENSP00000262948 269
9606.ENSP00000000233 9606.ENSP00000483552 215
9606.ENSP00000000233 9606.ENSP00000362727 343
9606.ENSP00000000233 9606.ENSP00000256682 756
9606.ENSP00000000233 9606.ENSP00000445122 153
9606.ENSP00000000233 9606.ENSP00000279242 161
9606.ENSP00000000233 9606.ENSP00000478061 182
9606.ENSP00000000233 9606.ENSP00000359386 212
9606.ENSP00000000233 9606.ENSP00000268182 188
9606.ENSP00000000233 9606.ENSP00000338019 155
9606.ENSP00000000233 9606.ENSP00000426909 166
9606.ENSP00000000233 9606.ENSP00000314615 795
9606.ENSP00000000233 9606.ENSP00000262225 556
9606.ENSP00000000233 9606.ENSP00000234453 190
9606.ENSP00000000233 9606.ENSP00000308413 157
9606.ENSP00000000233 9606.ENSP00000419494 306
9606.ENSP00000000233 9606.ENSP00000351333 166
9606.ENSP00000000233 9606.ENSP00000389351 184
9606.ENSP00000000233 9606.ENSP00000378712 189
9606.ENSP00000000233 9606.ENSP00000459626 156
9606.ENSP00000000233 9606.ENSP00000373979 179
9606.ENSP00000000233 9606.ENSP00000360922 307
9606.ENSP00000000233 9606.ENSP00000495614 160
9606.ENSP00000000233 9606.ENSP00000300584 163
9606.ENSP00000000233 9606.ENSP00000219255 157
9606.ENSP00000000233 9606.ENSP00000331342 755
9606.ENSP00000000233 9606.ENSP00000269209 175
9606.ENSP00000000233 9606.ENSP00000368758 154
9606.ENSP00000000233 9606.ENSP00000429323 160
9606.ENSP00000000233 9606.ENSP00000482657 156
9606.ENSP00000000233 9606.ENSP00000480332 155
9606.ENSP00000000233 9606.ENSP00000292614 190
9606.ENSP00000000233 9606.ENSP00000398803 185
9606.ENSP00000000233 9606.ENSP00000378313 158
9606.ENSP00000000233 9606.ENSP00000420311 202
9606.ENSP00000000233 9606.ENSP00000461879 155
9606.ENSP00000000233 9606.ENSP00000369431 163
9606.ENSP00000000233 9606.ENSP00000418695 286
9606.ENSP00000000233 9606.ENSP00000369318 231
9606.ENSP00000000233 9606.ENSP00000376792 156
9606.ENSP00000000233 9606.ENSP00000481126 187
9606.ENSP00000000233 9606.ENSP00000324020 539
9606.ENSP00000000233 9606.ENSP00000449241 361
9606.ENSP00000000233 9606.ENSP00000498855 150
9606.ENSP00000000233 9606.ENSP00000408910 547
9606.ENSP00000000233 9606.ENSP00000410833 323
9606.ENSP00000000233 9606.ENSP00000389095 765
9606.ENSP00000000233 9606.ENSP00000362656 339
9606.ENSP00000000233 9606.ENSP00000296953 186
9606.ENSP00000000233 9606.ENSP00000288670 182
9606.ENSP00000000233 9606.ENSP00000274364 173
9606.ENSP00000000233 9606.ENSP00000223023 263
9606.ENSP00000000233 9606.ENSP00000381293 150
9606.ENSP00000000233 9606.ENSP00000254950 152
9606.ENSP00000000233 9606.ENSP00000384593 175
9606.ENSP00000000233 9606.ENSP00000381785 170
9606.ENSP00000000233 9606.ENSP00000382423 168
9606.ENSP00000000233 9606.ENSP00000314030 210
9606.ENSP00000000233 9606.ENSP00000359571 151
9606.ENSP00000000233 9606.ENSP00000380308 568
9606.ENSP00000000233 9606.ENSP00000392147 182
9606.ENSP00000000233 9606.ENSP00000392330 151
9606.ENSP00000000233 9606.ENSP00000351015 264
9606.ENSP00000000233 9606.ENSP00000335655 181
9606.ENSP00000000233 9606.ENSP00000361475 226
9606.ENSP00000000233 9606.ENSP00000257663 192
9606.ENSP00000000233 9606.ENSP00000386443 378
9606.ENSP00000000233 9606.ENSP00000281141 159
9606.ENSP00000000233 9606.ENSP00000370013 150
9606.ENSP00000000233 9606.ENSP00000480301 835
9606.ENSP00000000233 9606.ENSP00000362036 159
9606.ENSP00000000233 9606.ENSP00000248437 212
9606.ENSP00000000233 9606.ENSP00000261890 792
9606.ENSP00000000233 9606.ENSP00000373404 207
9606.ENSP00000000233 9606.ENSP00000348215 152
9606.ENSP00000000233 9606.ENSP00000311962 367
9606.ENSP00000000233 9606.ENSP00000216274 154
9606.ENSP00000000233 9606.ENSP00000475168 168
9606.ENSP00000000233 9606.ENSP00000482543 214
9606.ENSP00000000233 9606.ENSP00000354111 152
9606.ENSP00000000233 9606.ENSP00000400717 150
9606.ENSP00000000233 9606.ENSP00000245932 160
9606.ENSP00000000233 9606.ENSP00000446215 176
9606.ENSP00000000233 9606.ENSP00000268919 502
9606.ENSP00000000233 9606.ENSP00000370419 217
9606.ENSP00000000233 9606.ENSP00000306548 158
9606.ENSP00000000233 9606.ENSP00000306902 176
9606.ENSP00000000233 9606.ENSP00000314067 210
9606.ENSP00000000233 9606.ENSP00000279281 183
9606.ENSP00000000233 9606.ENSP00000377280 312
9606.ENSP00000000233 9606.ENSP00000306637 186
9606.ENSP00000000233 9606.ENSP00000357076 163
9606.ENSP00000000233 9606.ENSP00000261776 155
9606.ENSP00000000233 9606.ENSP00000384869 187
9606.ENSP00000000233 9606.ENSP00000479488 174
9606.ENSP00000000233 9606.ENSP00000378306 162
9606.ENSP00000000233 9606.ENSP00000377789 154
9606.ENSP00000000233 9606.ENSP00000360609 188
9606.ENSP00000000233 9606.ENSP00000285735 201
9606.ENSP00000000233 9606.ENSP00000282356 150
9606.ENSP00000000233 9606.ENSP00000349041 155
9606.ENSP00000000233 9606.ENSP00000401010 588
9606.ENSP00000000233 9606.ENSP00000229270 213
9606.ENSP00000000233 9606.ENSP00000418401 350
9606.ENSP00000000233 9606.ENSP00000378485 154
9606.ENSP00000000233 9606.ENSP00000354791 516
9606.ENSP00000000233 9606.ENSP00000364864 533
9606.ENSP00000000233 9606.ENSP00000245796 313
9606.ENSP00000000233 9606.ENSP00000333326 197
9606.ENSP00000000233 9606.ENSP00000434442 785
9606.ENSP00000000233 9606.ENSP00000317376 163
9606.ENSP00000000233 9606.ENSP00000429283 205
9606.ENSP00000000233 9606.ENSP00000279036 207
9606.ENSP00000000233 9606.ENSP00000249923 846
9606.ENSP00000000233 9606.ENSP00000361057 547
9606.ENSP00000000233 9606.ENSP00000357452 151
9606.ENSP00000000233 9606.ENSP00000387246 181
